id,Suburb,Type,Method,Real_Estate_Agent,Distance,Postcode,Number_of_Bedroom,Number_of_Bathroom,Number_of_Carpark,Latitude,Longitude,Median_rent_weekly
0,Abbotsford,h,S,Biggin,2.5,3067,2,1,0,-37.8079,144.9934,424
1,Abbotsford,h,SP,Biggin,2.5,3067,3,2,0,-37.8093,144.9944,424
2,Abbotsford,h,VB,Nelson,2.5,3067,3,1,2,-37.8072,144.9941,424
3,Abbotsford,h,S,Nelson,2.5,3067,4,2,0,-37.8024,144.9993,424
4,Abbotsford,h,S,Nelson,2.5,3067,2,1,2,-37.806,144.9954,424
5,Abbotsford,h,S,Biggin,2.5,3067,3,1,2,-37.801,144.9989,424
6,Abbotsford,h,VB,Nelson,2.5,3067,3,2,2,-37.8085,144.9964,424
7,Abbotsford,u,S,Biggin,2.5,3067,2,2,1,-37.8078,144.9965,424
8,Abbotsford,h,S,Jellis,2.5,3067,2,1,2,-37.809,144.9976,424
9,Abbotsford,h,S,Jellis,2.5,3067,3,2,1,-37.8056,144.993,424
10,Abbotsford,h,S,LITTLE,2.5,3067,2,1,1,-37.8021,144.9965,424
11,Abbotsford,h,S,Biggin,2.5,3067,2,1,1,-37.8011,145.0004,424
12,Abbotsford,h,PI,Kay,2.5,3067,4,2,2,-37.8073,144.9952,424
13,Abbotsford,u,S,Collins,2.5,3067,2,1,1,-37.8015,144.9972,424
14,Abbotsford,h,PI,Biggin,2.5,3067,2,2,1,-37.8079,144.9977,424
15,Abbotsford,h,S,Marshall,2.5,3067,2,1,0,-37.808,144.994,424
16,Abbotsford,h,PI,Nelson,2.5,3067,3,3,1,-37.8017,145.0001,424
17,Abbotsford,h,S,Nelson,2.5,3067,2,2,2,-37.8005,144.9952,424
18,Abbotsford,h,S,Biggin,2.5,3067,3,1,1,-37.8007,144.9958,424
19,Abbotsford,u,S,Nelson,2.5,3067,1,1,1,-37.8055,144.9961,424
20,Abbotsford,h,S,Jellis,2.5,3067,2,1,0,-37.8016,144.9956,424
21,Abbotsford,h,SP,Jellis,2.5,3067,3,2,1,-37.8022,144.9954,424
22,Abbotsford,h,S,Nelson,2.5,3067,2,1,0,-37.8021,144.9976,424
23,Abbotsford,h,S,Biggin,2.5,3067,2,1,1,-37.8086,144.9946,424
24,Abbotsford,h,SP,Biggin,2.5,3067,3,1,0,-37.8025,144.9939,424
25,Abbotsford,u,S,Biggin,2.5,3067,2,2,1,-37.8055,144.9961,424
26,Abbotsford,h,S,Jellis,2.5,3067,2,1,0,-37.8099,145.0027,424
27,Abbotsford,h,S,Nelson,2.5,3067,2,1,1,-37.8052,144.9963,424
28,Abbotsford,h,S,Jellis,2.5,3067,3,2,0,-37.797,144.9957,424
29,Abbotsford,u,S,hockingstuart,3.0,3067,2,1,1,-37.80915,145.00066,424
30,Abbotsford,u,SP,Jellis,3.0,3067,2,1,1,-37.80554,144.99612,424
31,Abbotsford,h,S,Nelson,3.0,3067,3,2,1,-37.79683,144.99586,424
32,Abbotsford,u,PI,Nelson,3.0,3067,2,1,1,-37.80206,145.00015,424
33,Abbotsford,h,S,Jellis,3.0,3067,3,1,1,-37.8023,144.99615,424
34,Abbotsford,h,S,Nelson,3.0,3067,3,1,0,-37.80359,144.99538,424
35,Abbotsford,h,S,Biggin,3.0,3067,2,2,1,-37.80269,145.0001,424
